iteration,EPT,EPI
18900,4.252E-11,0.000E+00
19000,3.837E-11,0.000E+00
19100,4.093E-11,0.000E+00
19200,3.854E-11,0.000E+00
19300,4.255E-11,0.000E+00
19400,4.288E-11,0.000E+00
19500,4.321E-11,0.000E+00
19600,4.469E-11,0.000E+00
19700,4.107E-11,0.000E+00
19800,4.420E-11,0.000E+00
19900,3.925E-11,0.000E+00
20000,4.388E-11,0.000E+00
20100,4.240E-11,0.000E+00
20200,4.407E-11,0.000E+00
20300,4.441E-11,0.000E+00
20400,4.095E-11,0.000E+00
20500,4.239E-11,0.000E+00
20600,4.068E-11,0.000E+00
20700,4.325E-11,0.000E+00
20800,4.216E-11,0.000E+00
20900,4.430E-11,0.000E+00
21000,4.275E-11,0.000E+00
21100,4.054E-11,0.000E+00
21200,4.313E-11,0.000E+00
21300,4.124E-11,0.000E+00
21400,4.270E-11,0.000E+00
21500,4.156E-11,0.000E+00
21600,4.453E-11,0.000E+00
21700,4.145E-11,0.000E+00
21800,4.081E-11,0.000E+00
21900,4.410E-11,0.000E+00
22000,4.079E-11,0.000E+00
22100,4.212E-11,0.000E+00
22200,4.169E-11,0.000E+00
22300,4.236E-11,0.000E+00
22400,4.118E-11,0.000E+00
22500,4.146E-11,0.000E+00
22600,4.413E-11,0.000E+00
22700,4.171E-11,0.000E+00
22800,4.355E-11,0.000E+00
22900,4.031E-11,0.000E+00
23000,4.310E-11,0.000E+00
23100,4.201E-11,0.000E+00
23200,4.270E-11,0.000E+00
23300,4.419E-11,0.000E+00
23400,4.146E-11,0.000E+00
23500,4.377E-11,0.000E+00
23600,3.892E-11,0.000E+00
23700,4.349E-11,0.000E+00
23800,4.288E-11,0.000E+00
23900,4.352E-11,0.000E+00
24000,4.447E-11,0.000E+00
24100,4.142E-11,0.000E+00
24200,4.144E-11,0.000E+00
24300,3.908E-11,0.000E+00
24400,4.295E-11,0.000E+00
24500,4.200E-11,0.000E+00
24600,4.458E-11,0.000E+00
24700,4.400E-11,0.000E+00
24800,4.047E-11,0.000E+00
24900,4.420E-11,0.000E+00
25000,4.062E-11,0.000E+00
25100,4.276E-11,0.000E+00
25200,4.193E-11,0.000E+00
25300,4.301E-11,0.000E+00
25400,4.253E-11,0.000E+00
25500,4.001E-11,0.000E+00
25600,4.407E-11,0.000E+00
25700,4.117E-11,0.000E+00
25800,4.199E-11,0.000E+00
25900,4.113E-11,0.000E+00
26000,4.457E-11,0.000E+00
26100,4.136E-11,0.000E+00
26200,4.132E-11,0.000E+00
26300,4.417E-11,0.000E+00
26400,4.089E-11,0.000E+00
26500,4.302E-11,0.000E+00
26600,4.053E-11,0.000E+00
26700,4.511E-11,0.000E+00
26800,4.260E-11,0.000E+00
26900,4.271E-11,0.000E+00
27000,4.448E-11,0.000E+00
27100,4.113E-11,0.000E+00
27200,4.403E-11,0.000E+00
27300,3.965E-11,0.000E+00
27400,4.492E-11,0.000E+00
